name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Dromagorteen Stone Circle","dromagorteen-stone-circle","stone circle",51.830278,-9.510833,"Ireland",no,""
"stone circle 450m WSW of Blackfaulds","stone-circle-450m-wsw-of-blackfaulds","stone circle",56.469297,-3.3953336,"United Kingdom",no,""
"Seven Brethren, stone circle, Whiteholme Rig","seven-brethren-stone-circle-whiteholme-rig","stone circle",55.132215,-3.2292238,"United Kingdom",no,""
"Torbreck, stone circle SW of","torbreck-stone-circle-sw-of","stone circle",57.433486,-4.2607144,"United Kingdom",no,""
"Park Gate stone circle","park-gate-stone-circle","stone circle",53.212943,-1.581461,"United Kingdom",no,""
"stone circle 750m NNE of Colen","stone-circle-750m-nne-of-colen","stone circle",56.464191,-3.4450062,"United Kingdom",no,""
"Leys of Marlee stone circle","leys-of-marlee-stone-circle","stone circle",56.579321,-3.3691209,"United Kingdom",yes,""
"stone circle 380m ENE of Blindwells","stone-circle-380m-ene-of-blindwells","stone circle",56.465867,-3.4219891,"United Kingdom",no,""
"stone circle 275m NNE of Auchlee","stone-circle-275m-nne-of-auchlee","stone circle",57.064421,-2.1773929,"United Kingdom",no,""
"stone circle 65m N of Deer Park","stone-circle-65m-n-of-deer-park","stone circle",57.230421,-2.5260597,"United Kingdom",no,""
"Parkneuk stone circles","parkneuk-stone-circles","stone circle",56.64742,-3.3147028,"United Kingdom",yes,""
"Old Harestanes,stone circle 180m NE of","old-harestanes-stone-circle-180m-ne-of","stone circle",55.68446,-3.3946702,"United Kingdom",yes,""
"Acharn Falls stone circle","acharn-falls-stone-circle","stone circle",56.558161,-4.0063938,"United Kingdom",no,""
"Fingal's Limpet Hammers,standing stones,Lower Kilchattan, Colonsay","fingal-s-limpet-hammers-standing-stones-lower-kilchattan-colonsay","stone circle",56.075079,-6.2326651,"United Kingdom",yes,""
"River Shin,stone circle on W bank of,S of Lairg","river-shin-stone-circle-on-w-bank-of-s-of-lairg","stone circle",58.010879,-4.4011721,"United Kingdom",no,""
"stone circle 550m ESE of Eslie","stone-circle-550m-ese-of-eslie","stone circle",57.019715,-2.4586652,"United Kingdom",no,""
"stone circle 380m W of Raich","stone-circle-380m-w-of-raich","stone circle",57.481481,-2.6374506,"United Kingdom",no,""
"Domhög","domhog","stone circle",56.279476,12.54191,"Sweden",no,""
"Green Gates stone circle, 320m ESE of Faskally Cottages","green-gates-stone-circle-320m-ese-of-faskally-cottages","stone circle",56.708312,-3.7491521,"United Kingdom",no,""
"standing stone 250m SE of Stonefield","standing-stone-250m-se-of-stonefield","stone circle",56.403821,-3.8608169,"United Kingdom",no,""
"Loanend,stone circle,200m N of","loanend-stone-circle-200m-n-of","stone circle",57.306814,-2.6573633,"United Kingdom",no,""
"stone circle 50m WNW of Druidstone","stone-circle-50m-wnw-of-druidstone","stone circle",57.288795,-2.6398378,"United Kingdom",no,""
"Arn Hill,stone circle,Rothiemay Station","arn-hill-stone-circle-rothiemay-station","stone circle",57.498555,-2.7830438,"United Kingdom",no,""
"Meikle Findowie, stone circle 460m S of, Strath Braan","meikle-findowie-stone-circle-460m-s-of-strath-braan","stone circle",56.528607,-3.6937732,"United Kingdom",no,""
"Whitehill, stone circle, Bogmore Wood","whitehill-stone-circle-bogmore-wood","stone circle",57.21092,-2.5922673,"United Kingdom",yes,""
"stone circle 350m WNW of Carse Farm","stone-circle-350m-wnw-of-carse-farm","stone circle",56.612783,-3.9524178,"United Kingdom",no,""
"stone circle 950m NNE of Achinduich","stone-circle-950m-nne-of-achinduich","stone circle",57.974261,-4.3946454,"United Kingdom",no,""
"Steinkreis von Gortanacra","steinkreis-von-gortanacra","stone circle",51.927558,-9.157142,"Ireland",no,""
"Little Hartfell, stone circle 1010m NNW of Whitcastles Cottage","little-hartfell-stone-circle-1010m-nnw-of-whitcastles-cottage","stone circle",55.18068,-3.2202881,"United Kingdom",no,""
"stone circle 250m S of Yadlee","stone-circle-250m-s-of-yadlee","stone circle",55.897778,-2.5548267,"United Kingdom",no,""
"Machium's Stone Circle","machium-s-stone-circle","stone circle",56.534877,-4.144681,"United Kingdom",no,""
"Auchmachar,stone circle","auchmachar-stone-circle","stone circle",57.542472,-2.0877024,"United Kingdom",no,""
"Ardlair, stone circle 450m SW of","ardlair-stone-circle-450m-sw-of","stone circle",57.339789,-2.7447066,"United Kingdom",yes,""
"Broomend, henge, standing stones and symbol stone","broomend-henge-standing-stones-and-symbol-stone","stone circle",57.266648,-2.3673257,"United Kingdom",yes,""
"stone circle 1600m ENE of Balmuick","stone-circle-1600m-ene-of-balmuick","stone circle",56.402896,-3.9723656,"United Kingdom",no,""
"stone setting 200m NE of Ardilistry","stone-setting-200m-ne-of-ardilistry","stone circle",55.668738,-6.0683639,"United Kingdom",no,""
"Steinkreis von Bentstreek","steinkreis-von-bentstreek","stone circle",53.405712,7.819932,"Germany",no,""
"Hare Stone,stone circle 480m NW of Feith-Hill","hare-stone-stone-circle-480m-nw-of-feith-hill","stone circle",57.483452,-2.561132,"United Kingdom",no,""
"Corogle, standing stones and stone circle 950m WNW of Corriehead","corogle-standing-stones-and-stone-circle-950m-wnw-of-corriehead","stone circle",56.73008,-3.0651829,"United Kingdom",no,""
"Brisworthy Circle","brisworthy-circle","stone circle",50.471613,-4.024105,"United Kingdom",no,""
"stone circle 120m NNE of Auchlee Cottage","stone-circle-120m-nne-of-auchlee-cottage","stone circle",57.06286,-2.1823486,"United Kingdom",no,""
"stone circle 635m WSW of Ord","stone-circle-635m-wsw-of-ord","stone circle",57.330352,-2.8609123,"United Kingdom",no,""
"stone circle 650m ENE of East Drimmie","stone-circle-650m-ene-of-east-drimmie","stone circle",56.635177,-3.3304826,"United Kingdom",no,""
"stone circle 600m NW of Claughreid","stone-circle-600m-nw-of-claughreid","stone circle",54.876781,-4.3117204,"United Kingdom",no,""
"Bridge of Broubster, stone circle 700m ENE of Broubster Village","bridge-of-broubster-stone-circle-700m-ene-of-broubster-village","stone circle",58.516981,-3.6407496,"United Kingdom",no,""
"Brownies Knowe, stone circle & cup-marked stone 400m WNW of Rosemount","brownies-knowe-stone-circle-cup-marked-stone-400m-wnw-of-rosemount","stone circle",56.462963,-3.3637453,"United Kingdom",no,""
